"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
2,8,2,0,2,4,1,2,3,1
11,6,8,5,5,5,9,10,4,1
1,4,1,4,4,2,0,3,2,1
13,11,4,5,8,5,3,3,5,1
90,102,48,35,26,89,46,31,37,1
1,0,0,1,2,0,0,3,2,1
4,5,1,1,4,1,5,4,5,1
0,1,0,1,1,4,2,2,0,1
0,1,1,1,1,2,2,1,2,1
2,6,1,0,2,3,4,3,4,1
9,8,1,3,2,6,1,6,4,1
0,2,0,0,1,4,2,0,0,1
2,1,0,0,0,1,0,0,0,1
0,1,0,1,0,1,0,0,0,1
2,9,5,3,1,4,3,1,5,1
0,1,0,2,0,0,0,2,1,1
11,13,6,5,6,20,8,4,7,1
2,2,3,2,0,5,1,0,2,1
4,1,1,0,0,2,0,3,1,1
4,2,1,2,3,1,1,3,4,1
4,0,0,2,0,2,0,4,1,1
2,1,2,0,1,3,1,3,1,1
